Date,BTC
1,8573.98
2,8305.13
3,8203.61
4,8023.64
5,7643.57
6,7296.16
7,7398.63
8,7039.98
9,7145.16
10,7220.88
11,7536.82
12,7466.73
13,7764.06
14,7571.62
15,7424.04
16,7323.98
17,7320.13
18,7253.24
19,7450.56
20,7547.27
21,7551.34
22,7561.8
23,7397.13
24,7277.2
25,7216.74
26,7244.66
27,7268.9
28,7124.24
29,7153.66
30,6931.32
31,6647.7
32,7277.59
33,7208.64
34,7220.59
35,7191.19
36,7508.9
37,7354.39
38,7325.76
39,7274.8
40,7238.14
41,7289.03
42,7317.65
43,7420.27
44,7294.44
45,7194.89
46,7202.55
47,6984.43
48,7345.38
49,7410.45
50,7410.45
51,7768.68
52,8161.94
53,8082.3
54,7878.31
55,8162.19
56,8033.26
57,8189.77
58,8140.93
59,8825.34
60,8812.48
61,8725.21
62,8927.21
63,8941.45
64,8704.63
65,8658.99
66,8744.21
67,8680.65
68,8405.57
69,8440.12
70,8364.41
71,8597.31
72,8912.52
73,9357.47
74,9316.02
75,9508.31
76,9346.36
77,9389.82
78,9344.68
79,9292.84
80,9183.42
81,9617.82
82,9726
83,9793.07
84,9863.89
85,10115.56
86,9855.89
87,10202.39
88,10323.96
89,10211.55
90,10313.86
91,9889.18
92,9936.56
93,9691.23
94,10143.8
95,9629.33
96,9611.78
97,9687.71
98,9663.32
99,9921.58
100,9651.31
101,9338.29
102,8825.09
103,8788.73
104,8671.21
105,8599.76
106,8563.26
107,8865.39
108,8788.54
109,8760.29
110,9078.31
111,9121.6
112,8908.21
113,8111.15
114,7922.15
115,7910.09
116,7913.62
117,5017.83
118,5573.08
119,5201.07
120,5385.23
121,5002.58
122,5227.11
123,5245.42
124,6191.65
125,6206.52
126,6185.56
127,5831.37
128,6436.64
129,6738.72
130,6675.17
131,6719.39
132,6467.25
133,6245.62
134,5925.54
135,6430.61
136,6437.32
137,6606.78
138,6797.4
139,6738.38
140,6862.54
141,6788.05
142,7273.64
143,7179.28
144,7337.97
145,7303.82
146,6867.44
147,6858.07
148,6965.62
149,6843.28
150,6845.56
151,6640.45
152,7116.55
153,7092.29
154,7260.92
155,7186.87
156,6879.78
157,6879.44
158,7121.31
159,7434.18
160,7550.48
161,7570.14
162,7679.42
163,7796.97
164,7806.71
165,8797.67
166,8672.78
167,8869.06
168,8983.61
169,8895.74
170,8912.83
171,9007.44
172,9261.9
173,9936.16
174,9840.91
175,9591.17
176,8755.54
177,8610.39
178,8805.39
179,9271.33
180,9734.29
181,9333.24
182,9374.93
183,9675.69
184,9727.06
185,9725.33
186,9522.74
187,9080.33
188,9185.06
189,9212.28
190,8786.11
191,8909.59
192,8837.38
193,9184.94
194,9528.36
195,9438.91
196,9700.11
197,9463.61
198,10162.97
199,9533.76
200,9655.85
201,9800.22
202,9664.9
203,9653
204,9760.06
205,9774.36
206,9794.12
207,9870.08
208,9320.69
209,9480.74
210,9477.55
211,9386.04
212,9454.27
213,9533.78
214,9481.57
215,9410.29
216,9290.96
217,9330.93
218,9300.92
219,9644.08
220,9632.15
221,9314.13
222,9260.99
223,9167.82
224,9048.46
225,9140.03
226,9185.58
227,9145.99
228,9231.14
229,9124.84
230,9084.23
231,9126.09
232,9072.85
233,9349.16
234,9253.02
235,9427.99
236,9273.36
237,9277.51
238,9241.06
239,9277.2
240,9238.7
241,9241.9
242,9191.98
243,9131.81
244,9151.18
245,9158.01
246,9187.22
247,9162.51
248,9375.08
249,9527.14
250,9585.51
251,9539.49
252,9680.23
253,9905.22
254,11017.46
255,10912.95
256,11099.83
257,11110.21
258,11322.57
259,11758.76
260,11043.77
261,11246.2
262,11203.82
263,11749.87
264,11778.89
265,11604.55
266,11737.33
267,11662.26
268,11881.65
269,11404.6
270,11588.41
271,11772.66
272,11768.7
273,11866.69
274,11895.66
275,12251.9
276,11990.88
277,11761.5
278,11878.03
279,11585.48
280,11679.7
281,11663.69
282,11773.59
283,11366.89
284,11485.61
285,11325.3
286,11541.05
287,11508.71
288,11713.31
289,11679.32
290,11964.82
291,11407.19
292,10230.37
293,10512.53
294,10167.22
295,10281
296,10369.31
297,10134.15
298,10242.33
299,10369.03
300,10409.86
301,10452.4
302,10328.73
303,10677.75
304,10797.76
305,10973.25
306,10951.82
307,10933.75
308,11095.87
309,10934.93
310,10459.62
311,10535.49
312,10248.79
313,10761.11
314,10695.58
315,10746.89
316,10776.61
317,10709.65
318,10843.87
319,10795.25
320,10619.82
321,10575.1
322,10550.44
323,10676.53
324,10796.31
325,10603.36
326,10669.37
327,10927.91
328,11059.14
329,11296.08
330,11392.64
331,11548.72
332,11429.05
333,11426.6
334,11502.83
335,11322.12
336,11355.98
337,11495.04
338,11745.97
339,11913.08
340,12801.64
341,12971.55
342,12931.57
343,13108.06
344,13031.2
345,13075.24
346,13654.21
347,13271.3
348,13437.87
349,13546.53
350,13780.99
351,13737.03
352,13550.45
353,13950.49
354,14133.73
355,15579.73
356,15565.88
357,14833.75
358,15479.6
359,15332.35
360,15290.91
361,15701.3
362,16276.44
363,16317.81
364,16068.14
365,15955.58
366,16685.69
367,17891.81916
368,17991.56625
369,18670.87873
370,18714.57205
371,18510.02893
372,18363.55407
373,18889.83621
374,18710.98165
375,17173.16481
376,17039.04211
377,17349.42991
378,18076.20927
379,19293.89244
380,18890.99686
381,19219.71906
382,19344.89092
383,19036.11841
